recipe_id,name,ingredients,cooking_steps,tags,cuisine_type,diet_type
4QdLNQeFi5io996Kyxu2PcDZ,불고기비빔밥,쇠고기(불고기용) 200g | 당근 1/3개 | 애호박 1/2개 | 양파 1/2개 | 표고버섯 4개 | 달걀 2개 | 밥 2공기 | 어린잎채소 한줌 | 참기름 약간 | 통깨 약간 | 간장 1+1/2큰술 | 맛술 1큰술 | 설탕 1/2큰술 | 다진마늘 1/2큰술 | 참기름 1/2큰술 | 후추 약간 | 고추장 2큰술 | 올리고당 1큰술 | 간장 1큰술 | 올리고당 1/2큰술,"Step 1 쇠고기는 먹기 좋게 썬 후 키친타월에 올려 핏물을 빼고, 고기양념 재료에 10분 정도 재워주세요. Step 2 당근, 애호박, 양파, 표고버섯은 채를 썰고 어린잎 채소는 물에 담가 씻은 후 물기를 제거해주세요. Step 3 달군 팬에 기름을 두르고 양파애호박당근표고버섯 순으로 약간의 소금으로 밑간해서 각각 볶고 양념한 쇠고기를 볶아주세요. Step 4 팬에 기름을 두르고 달걀을 넣어 반숙으로 달걀프라이를 만들어주세요. Step 5 볼에 밥과 볶은야채를 돌려 담고, 가운데 불고기와 새싹을 담은 후 달걀프라이를 올려주세요. Step 6 마지막에 약간의 참기름과 통깨를 뿌리고, 비빔고추장과 비빔간장재료를 곁들여주세요.","['고단백', '저칼로리', '고지방', '고염']",한식,일반
7stay6Jq3Lqs8AyuRbqELSSi,ABC주스,사과 1개  비트 13개100g  당근 1개,"Step 1 깨끗이 씻은 사과는 씨를 제거해주고, 껍질을 벗긴 비트와, 당근은 23등분으로 썰어주세요. Step 2 휴롬 착즙기에 사과, 당근, 비트를 넣고 착즙해 주세요. Step 3 완성된 주스는 유리병이나 컵에 담아 맛있게 즐겨주세요. tip. 냉장 보관시 3일내로 드시는것이 좋아요",['일반'],다이어트,다이어트
hmfJKReVtx31f3YMBoHfsQVS,꼬막전,자숙 꼬막살 1컵 (150g) | 부추 반 줌 | 청양고추 2개 | 홍고추 ½개 | 양파 ⅙개 | 맛술 ½큰술 | 참기름 ½작은술 | 후춧가루 약간 | 식용류 적당량 | 부침가루 2큰술 | 달걀 2개 | 간장 1큰술 | 식초 1작은술 | 송송 썬 청양고추 (생략 가능) 약간,"Step 1 자숙 꼬막살은 약간의 소금을 넣은 물에 흔들어 씻은 후 체에 받쳐 물기를 빼고 맛술과 참기름, 후춧가루를 뿌려 10분정도 재워주세요. Step 2 부추는 먹기좋게 자르고 양파는 2센치 길이로 곱게 채를 썰어주세요. 홍고추와 청양고추 1개는 잘게 썰어주세요. 청양고추 1개는 송송 썰어 전간장에 넣어주세요. Step 3 볼에 꼬막살과 손질한 야채, 반죽재료를 넣고 잘 섞어주세요. tip 노릇한 전을 만드시려면 노른자 한개를 추가로 넣어 만드셔도 돼요. Step 4 달군 팬에 약간의 기름을 두르고 반죽을 수저로 떠서 동그랗게 모양을 잡고 앞 뒤로 노릇하게 익혀주세요. Step 5 꼬막전에 전간장을 곁들여주세요.","['저칼로리', '고지방', '고염']",한식,일반
4GQHBmyRPbDTaRFn1ATvDoBe,닭고기 마늘쫑 볶음밥,밥 2공기  달걀 2개  대파 대  당근 개50g  식용유 3큰술  치킨파우더 작은술  소금 작은술  후춧가루 약간  참기름 작은술  다진 닭고기 100g  마늘쫑 5줄기80g  식용유 1큰술  물 2작은술  굴소스 2작은술  설탕 2작은술  노두유 2작은술,"Step 1 달걀은 흰자와 노른자를 잘 섞고 대파, 당근, 닭고기는 다지고 마늘쫑은 잘게 썰어 준비해 주세요. Step 2 분량의 재료를 골고루 섞어서 소스를 만들어 주세요. Step 3 달궈 놓은 팬에 식용유를 넣고 달걀물을 부어 스크램블을 만들어 주세요. Step 4 순서 3에 흰 밥과 다진 대파, 당근을 넣고 볶다가 치킨파우더, 소금, 후춧가루를 넣어 간을 하여 잘 볶아 볶음밥을 완성해 주세요. Step 5 팬에 식용유를 두르고 다진 닭고기를 볶아 익힌 후 마늘쫑을 함께 넣고 볶아 주세요. Step 6 완성 순서 5에 순서 2의 소스를 넣어 소스가 스며들 때 까지 잘 볶아주고, 순서 4의 볶음밥 위에 얹어 내면 완성이예요. Tip. 중식 기본 볶음밥카테고리 내 레시피 참조 위에 취향에 맞게 재료를 넣고 볶으면 새로운 볶음밥이 탄생한답니다. 돼지고기, 소고기, 해물 등을 더하면 더욱 고급스러운 요리가 될거예요 돼지고기","['고단백', '고염']",중식,일반
bMDWVWLP6xdWHvt8MwvnmifJ,회과육춘장삼겹살볶음,돼지고기 통삼겹살 200g  생강 약간  대파 1대  월계수잎 1장  통후추 5알  홍고추 1개  청양고추 3개  죽순 15g  양파 개  양상추 통  마늘 2개  마른 고추 2개  고추기름 1큰술  간장 1작은술  청주 1큰술  춘장 2큰술  설탕 1큰술  굴소스 1작은술  해선장 1작은술  백후춧가루 약간  닭 육수 컵,"Step 1 삼겹살은 편 썰고, 홍고추와 청양고추는 씨를 제거해서 어슷 썬 뒤, 죽순, 양파, 마늘, 대파는 편 썰어 준비해 주세요. 양상추는 먹기 좋은 크기로 잘라주세요. Step 2 물에 삼겹살, 생강, 대파, 월계수잎, 통후추를 넣고 10분간 삶아주세요. Step 3 분량의 재료를 골고루 섞어서 소스를 만들어 주세요. Step 4 팬에 고추기름, 마른 고추, 대파, 마늘, 간장, 청주를 넣고 향을 낸 후 홍고추, 청양고추, 죽순, 양파를 넣고 볶아주세요. Step 5 완성 순서 4에 삼겹살과 순서 3의 소스를 넣고 볶아주세요. 충분히 볶은 후 마지막에 양상추를 넣고 볶아내면 완성이랍니다. Tip. 소스를 넣고 볶을 때 춘장이 잘 풀어지도록 약불에서 서서히 볶아주는게 좋아요","['고지방', '고염']",중식,일반
W5qR2FNGXJgVrNUU46S43BH5,샥슈카에그인헬,소시지 2개  베이컨 3줄  양파 12개  파프리카빨강 13개  달걀 3개  다진마늘 1큰술  모차렐라치즈 12컵  올리브유 약간  소금 약간  후춧가루 약간  파슬리 약간  아라비아타 토마토 소스 2컵  물 12컵,"Step 1 양파와 파프리카는 사방 22센치 크기로 썰어주세요. Step 2 소시지는 한 입 크기로 어슷하게 썰고, 베이컨도 먹기 좋은 크기로 썰어주세요. Step 3 달군 팬에 오일을 두르고 다진마늘을 볶다가 양파, 파프리카, 소시지, 베이컨을 넣어 볶아주세요. Step 4 토마토소스 재료를 넣고 34분 끓여주세요. 소금, 후춧가루를 넣어 간을 맞춰주세요. Step 5 모차렐라 치즈를 뿌린 후, 소스에 작은 틈을 내어 달걀을 깨서 넣어주세요. 약불에서 10분 정도 달걀이 반숙상태가 되도록 익혀주세요. 달걀을 완숙으로 드시고 싶으신 분은 뚜껑을 덮어 익혀주세요. Step 6 마지막에 파슬리를 뿌려 즐겨주세요. 바게트를 곁들여 함께 드셔도 좋아요.","['고단백', '고지방', '고염']",양식,일반
2DxAHTjFZG566TLK29QrFmbL,묵은지닭볶음탕,닭다리살 500g | 청주 3큰술 | 감자 3개(작은크기) | 양파 1/2개 | 대파 1대 | 홍고추 1개 | 쪽파 1대 | 묵은지 또는 잘 익은 김치 1/4포기 | 다시마육수 2컵 | 통깨 약간 | 고춧가루 2큰술 | 간장 2큰술 | 맛술 2큰술 | 설탕 1큰술 | 다진 마늘 1/2큰술 | 후추 약간,"Step 1 끓는 물에 청주와 닭다리살을 넣고 살짝 데친 후 흐르는 물에 씻고 군데군데 칼집을 넣어주세요. 양념 재료를 섞어 닭다리살에 버무려 10분간 재우세요. Step 2 감자는 껍질을 제거하고 양파는 굵게 채썰어주세요. 대파, 홍고추는 어슷하게 썰고 쪽파는 4cm 길이로 썰어주세요. Step 3 묵은지는 양념소를 털어내주세요. 냄비에 감자, 양파, 묵은지, 닭다리살, 다시마육수를 넣고 센불에서 끓여주세요. Step 4 감자가 익으면 불을 약불로 줄이고 대파, 홍고추를 넣고 5분간 끓여주세요. Step 5 완성된 요리를 그릇에 담고 쪽파와 통깨를 뿌려주세요.",['일반'],한식,일반
tBoesNfyjXFN6fmCqkcaXb4t,얼갈이배추 된장국,얼갈이배추 5포기 | 해감 모시조개 200g | 대파 ½대 | 청양고추 1개 | 홍고추 1개 | 소금 약간 | 멸치 다시마 육수 5컵 | 된장 3큰술 | 다진 마늘 1큰술 | 고춧가루 ½큰술,"Step 1 냄비에 멸치 다시마육수를 붓고 해감한 모시조개를 넣어 끓이다가 조개가 익어 입을 벌리면 건져내고, 육수는 가라앉힌 후 위 육수만 따라내어 준비해 주세요. tip 건져 낸 모시조개는 육수에 흔들어 남아 있는 모래를 제거해 주세요. Step 2 얼갈이배추는 밑둥을 자른 후 물에 씻고 끓는 물에 약간의 소금을 넣고 얼갈이배추의 흰부분부터 넣어 12분간 데친 후 찬물에 헹궈 물기를 살짝 제거해주세요. Step 3 얼갈이는 먹기 좋은 크기로 잘라 얼갈이 양념재료에 조물조물 버무려 밑간하고 고추는 어슷하게 썰고 대파는 길이로 반 가른 후 6cm 길이로 썰어주세요. tip 된장의 염도에 따라 된장 양을 가감해서 양념을 조절해 주세요. Step 4 냄비에 육수를 붓고 끓어오르면 양념한 얼갈이배추를 넣고 중간불에서 3분 정도 끓여주세요. Step 5 . 마지막에 모시조개와 대파, 고추를 넣어 한소끔 더 끓여 맛있게 즐겨주세요.tip 부족한 간은 소금을 가감해 조절해 주세요.",['고염'],한식,일반
8QQ5ZmWeSMj31KxZ1P5ynoK9,통마늘 장아찌,통마늘 30개  양조식초 1L  물 1L  1차 식초물 1.9L  설탕 2컵  천일염 12컵,Step 1 마늘의 뿌리와 줄기 부분을 제거한 후 껍질을 한 겹 정도 남기고 벗겨주세요. 깨끗이 씻어 뿌리 쪽이 위를 향하도록 뒤집어 물기를 빼 주세요. Step 2 열탕소독한 유리 병에 마늘을 켜켜이 넣은 후 식초물을 부어주세요. 실온에서 7일14일 정도 보관해 주세요. tip. 햇빛이 통하지 않는 곳에서 보관하거나 어두운 천으로 감싸야 푸른색이 나지 않아요 tip. 용기에 따라 식초물의 양을 조절해 주세요. 식초와 물은 11 비율로 넣어주세요 tip. 마늘의 아린맛을 제거하기 위한 과정이에요 Step 3 식초물을 따라낸 후 1컵 정도 덜어내고 냄비에 2차 재료와 함께 넣어 팔팔 끓여주세요. 마늘이 담긴 유리병에 부어 실온에서 숙성시켜 주세요. tip. 장아찌의 아삭한 식감을 선호하지 않는다면 식초물을 완전히 식힌 후 넣어주세요 tip. 햇빛이 통하지 않는 서늘한 곳에서 최소 3주 이상 보관해 주세요,['고염'],채식,채식
UasAyakY1sXVT9QzESDSPz8W,황태갈비,황태 1마리 | 밀가루 4큰술 | 전분 2큰술 | 식용유 약간 | 간장 2큰술 | 올리고당 1큰술 | 갈색 설탕 1큰술 | 맛술 2큰술 | 다진 마늘 1큰술 | 다진 파 2큰술 | 참기름 1큰술 | 통깨 약간,Step 1 뼈를 발라 펼쳐진 황태를 6cm 길이로 잘라주세요. 물에 담가 말랑한 상태로 만든 후 물을 꽉 짜주세요. Step 2 볼에 양념 재료를 넣어 잘 섞어주세요. 손질한 황태를 양념에 재워주세요. Step 3 밀가루와 전분을 섞은 후 양념한 황태에 묻혀주세요. Step 4 구이 전용 팬에 기름을 바르고 황태를 올린 후 기름을 바르고 4단에 넣은 후 광파오븐 자동 요리 구이에서 황태 양념구이 1마리 분량을 선택하여 구워주세요. 조리가 시작되면 조절 기능으로 시간을 2분 추가해주세요. 도중에 멜로디가 울리면 황태를 뒤집고 계속 조리해 주세요. tip. 오븐에 전송 버튼을 누르면 시간을 조절할 필요 없이 간단하게 설정할 수 있어요 Step 5 완성된 황태갈비를 접시에 담아 맛있게 즐겨주세요.,['고지방'],한식,일반
